,Ticker,Hurst Exponent,t_statistic,p_value
0,A,0.5369874358670583,1.4529648862895117,0.1462335035566833
1,AAPL,0.5928286675371559,3.646557032428796,0.0002657775097334447
2,ABBV,0.5292273624359839,1.1481285561663646,0.25091549717809336
3,ABT,0.5457508625830552,1.797215602875546,0.07230139844825079
4,ACGL,0.5521698119091091,2.049369010079813,0.040426045192553106
5,ACN,0.5604732573797976,2.3755504395655764,0.01752279730174844
6,ADBE,0.5710395231156733,2.7906214693231313,0.005260695639081936
7,ADI,0.529531525702719,1.1600768985130374,0.24601749882496549
8,ADM,0.5529240878628738,2.078998976302175,0.037617444555645196
9,ADP,0.5676354376881497,2.6568999371277466,0.007886284688584766
10,ADSK,0.5414807532084885,1.629474345975209,0.10321264138372621
11,AEE,0.5212382593474179,0.8342953317613245,0.40411458180152415
12,AEP,0.5326309439658125,1.2818302939196646,0.19990218474257349
13,AES,0.5316355751878267,1.242729560132106,0.21396750718046165
14,AFL,0.5459614703020808,1.805488834402748,0.07099822119002575
15,AIG,0.544277599312331,1.7393419019702958,0.08197464097822205
16,AIZ,0.5588738558290061,2.312721691427164,0.020737945624895282
17,AJG,0.5523534210145155,2.056581664233979,0.039726483467550366
18,AKAM,0.5669732048981577,2.630885671260107,0.008516267992600302
19,ALB,0.5517019840637545,2.0309914876537696,0.04225585811564114
20,ALGN,0.5838010211744824,3.2919270651623727,0.0009950341323980982
21,ALL,0.5611469403005265,2.4020144970317445,0.01630506224476269
22,AMAT,0.5721885928976186,2.8357599874692294,0.004571678829106807
23,AMD,0.5739739734202937,2.9058944844220838,0.003662049158950742
24,AME,0.548631064743089,1.9103576065274246,0.05608718529557155
25,AMGN,0.5287547338485803,1.1295624478202155,0.25866064190633664
26,AMP,0.5811355670064828,3.1872209339767124,0.0014364700278928222
27,AMT,0.5324015674308747,1.272819773368818,0.20308200288674838
28,AMZN,0.5735101169515859,2.8876729682366156,0.003881031545981184
29,ANSS,0.5340485994904535,1.3375195746138213,0.18105309712020023
30,AON,0.5551390620878669,2.166009056820287,0.03031049486371451
31,AOS,0.5627491122388414,2.464952073362718,0.013703157921015396
32,APA,0.5556812451404715,2.1873074496098583,0.02872008727032016
33,APD,0.5474689457983465,1.8647064825492283,0.062222557625038366
34,APH,0.5608775861382574,2.391433548918459,0.01678272171463835
35,APO,0.5566813805190578,2.2265954281505937,0.025974324791348202
36,APTV,0.5667271314523425,2.6212192516277004,0.008761589371684142
37,ARE,0.5336144042946929,1.32046323214382,0.1866804040604464
38,ATO,0.5239017955136323,0.9389261187340008,0.3477686781235607
39,AVB,0.5172788514169153,0.678759254208027,0.49729041485240333
40,AVGO,0.5566237932540308,2.2243332471688557,0.026126031391626725
41,AVY,0.5567613196801343,2.2297356510765916,0.025764997605098205
42,AWK,0.5330934034040372,1.299996931030949,0.1936020210231295
43,AXON,0.5766186723484139,3.0097852945657673,0.0026143242413030343
44,AXP,0.5610254352949247,2.3972414571464604,0.016519034128772425
45,AZO,0.5411273285394927,1.6155908846872984,0.10618279600209712
46,BA,0.5805814662854325,3.1654543834635187,0.0015484093875981486
47,BAC,0.5609695151368785,2.3950447645622868,0.016618336240221465
48,BALL,0.5370546733204936,1.4556061523463462,0.1455015263070334
49,BAX,0.5426325620427245,1.6747204613825588,0.09398909090556762
50,BBY,0.566196460951495,2.6003731025004004,0.00931224528265684
51,BDX,0.5233972804205914,0.919107423612064,0.35803938669685165
52,BEN,0.5412056040978958,1.61866575687425,0.10551919843316915
53,BG,0.5488840914091117,1.9202971671486915,0.054820374003942796
54,BIIB,0.5667772041576017,2.623186240709197,0.008711163960350321
55,BK,0.5438866708114762,1.723985190387657,0.08471051672006324
56,BKNG,0.551923118835154,2.0396782498055437,0.041382382626860004
57,BKR,0.5419259424889284,1.646962565341282,0.09956574053518863
58,BLDR,0.5517461588139889,2.032726789370329,0.04208013319212767
59,BLK,0.5630482462691784,2.476702853923341,0.013260224800857312
60,BMY,0.55646617432261,2.2181415561959548,0.02654518214165158
61,BR,0.5787129710701573,3.0920549202578864,0.001987760695231211
62,BRO,0.5391714975160669,1.5387606385797432,0.12386274246160722
63,BSX,0.5423625333464043,1.6641130157771387,0.09608984646782792
64,BWA,0.5482725379300737,1.8962737194481245,0.05792385952022672
65,BX,0.5616326436361079,2.4210942162718116,0.015473866175347517
66,BXP,0.5255160392275415,1.0023379065273972,0.31618042055438833
67,C,0.5523333722576212,2.0557940957232628,0.03980236738696563
68,CAG,0.5464960283132814,1.8264876952794757,0.06777683304733961
69,CAH,0.546913201891956,1.842875383344164,0.06534720720202358
70,CAT,0.555224405107721,2.169361557696086,0.030055245118138396
71,CB,0.5355434198483692,1.3962400952567944,0.16264220637876203
72,CBOE,0.5426751280578335,1.6763925677033356,0.09366132376406622
73,CBRE,0.5551017791750154,2.1645444848119273,0.030422586370680182
74,CCI,0.5238088077331915,0.9352733113233972,0.3496474657085442
75,CCL,0.5567458875606945,2.2291294363676943,0.02580529384665864
76,CDNS,0.5495831760277335,1.94775907088956,0.05144379827076939
77,CE,0.5444916152525427,1.747749017493296,0.08050749690580505
78,CF,0.5346422250625111,1.360838766430832,0.17356464797175963
79,CHD,0.554070919368999,2.1240495690191037,0.033665998858406265
80,CHRW,0.5165128090659009,0.6486670725970848,0.5165535918668134
81,CHTR,0.5552874150464817,2.1718367557291605,0.029867978207198886
82,CI,0.559961973028086,2.3554658299533755,0.018499498363652167
83,CINF,0.5553990273197154,2.1762211827673124,0.029538725723292192
84,CL,0.5234277481370716,0.9203042765750605,0.35741377488312365
