,Ticker,Hurst Exponent,t_statistic,p_value
0,A,0.5612232902150617,2.4050137248043746,0.01617185841329527
1,AAPL,0.6146369134066426,4.503242951231649,6.692430212451583e-06
2,ABBV,0.5846844810148725,3.3266317181463587,0.0008790246462524465
3,ABT,0.5748630749578595,2.940820758280924,0.0032734389141664266
4,ACGL,0.5967863879272964,3.8020268189069566,0.00014351718728256024
5,ACN,0.5661535807444618,2.598688653884928,0.00935806078407464
6,ADBE,0.5498198488112134,1.9570562074948812,0.050340860367696916
7,ADI,0.5474428232270451,1.8636803184491548,0.062366610899581065
8,ADM,0.5917834989340971,3.605500029019452,0.00031155245619163274
9,ADP,0.563548363330518,2.4963487826590502,0.012547915607648674
10,ADSK,0.5829290884146493,3.2576752265705733,0.0011232888383243544
11,AEE,0.5577462124837241,2.2684248607184454,0.02330332393853718
12,AEP,0.5810133836383168,3.182421246205115,0.0014604922874681403
13,AES,0.5868414194894159,3.411361999982134,0.0006463921200556833
14,AFL,0.5706583020512966,2.775646091672081,0.0055092141918806625
15,AIG,0.5766599260322357,3.011405849022113,0.002600410313927659
16,AIZ,0.600657172552109,3.9540815372295905,7.68292078656696e-05
17,AJG,0.5768053312730134,3.0171177537319114,0.002551906600671394
18,AKAM,0.5664983003310654,2.612230156376519,0.008995367320588477
19,ALB,0.5822248479356629,3.2300107869173695,0.0012378554767393801
20,ALGN,0.5860177556438166,3.379006292761353,0.0007274834294679344
21,ALL,0.5803915901465796,3.1579955435620697,0.001588579863738282
22,AMAT,0.604379457883968,4.100302808241196,4.1260989038338636e-05
23,AMCR,0.5667104162695475,2.620562634776607,0.008778480267263022
24,AMD,0.6041695487056253,4.092057017250495,4.2756348433314884e-05
25,AME,0.5722941418725349,2.839906232018013,0.004512679646138551
26,AMGN,0.559461266786515,2.335796756650658,0.019501836745771772
27,AMP,0.5916038237219827,3.598441908659957,0.00032012933548797307
28,AMT,0.5695742078895278,2.7330599887547824,0.006274890251011689
29,AMZN,0.5758104393305491,2.9780357513122633,0.0029010214377127586
30,ANSS,0.5638017763590432,2.5063035206273336,0.012200084169934788
31,AON,0.5698027531823523,2.742037855903893,0.006105930415309269
32,AOS,0.5733278142945617,2.8805116348507185,0.003970302980328855
33,APA,0.6083076253806685,4.254611678439275,2.094121218565448e-05
34,APD,0.5722976482797693,2.8400439730230085,0.004510731546198521
35,APH,0.562499743024491,2.455156187173825,0.014082338852915433
36,APO,0.5889570383986331,3.494469139360789,0.0004750055217599414
37,APTV,0.600325837801973,3.9410658267249348,8.112035890084357e-05
38,ARE,0.6016160838254497,3.9917501232391457,6.5587462017902e-05
39,ATO,0.5469898471159254,1.84588621165704,0.06490872913239398
40,AVB,0.5540401063805488,2.1228391528545254,0.03376733269728849
41,AVGO,0.566795753584594,2.623914911552385,0.008692549809748096
42,AVY,0.5948842710129263,3.7273066059100186,0.00019353696314516888
43,AWK,0.5644149265560205,2.530389691656645,0.01139359046175148
44,AXON,0.615423243043931,4.534132071421956,5.78408303586464e-06
45,AXP,0.5632975276784498,2.486495290895125,0.012900827699784179
46,AZO,0.5928275477570324,3.6465130444863583,0.00026582298963906403
47,BA,0.5811602466149789,3.188190414658775,0.0014316622460524009
48,BAC,0.5948188259912898,3.724735751343022,0.0001955199196641555
49,BALL,0.5781413708931309,3.0696009445564805,0.0021434495688821276
50,BAX,0.5565355640175859,2.220867368026561,0.026359946006683233
51,BBY,0.5897562486567386,3.5258642446058066,0.0004221032805471481
52,BDX,0.5510553455433949,2.0055898061859954,0.04490003039423485
53,BEN,0.5777245599571291,3.053227502060798,0.0022639423186980867
54,BG,0.5692461661932091,2.7201736381652717,0.0065247644231236634
55,BIIB,0.552719850854114,2.070976003223549,0.03836103864844098
56,BK,0.5562104066957709,2.208094323341466,0.027237698647028408
57,BKNG,0.5751532731341309,2.952220514719924,0.0031549753330035735
58,BKR,0.5741843220577512,2.9141575385360023,0.0035664987695880335
59,BLDR,0.5933123672408278,3.6655580436767763,0.0002467998251574066
60,BLK,0.5980371467933043,3.851159954819827,0.00011755968030113806
61,BMY,0.5895292011301165,3.516945213697948,0.00043654387612357404
62,BR,0.6016589006452171,3.9934320818341713,6.512373870992683e-05
63,BRO,0.5615693610847828,2.4186083092919235,0.015580006568812754
64,BSX,0.5745734304122065,2.929442749925556,0.0033957035932796753
65,BWA,0.6055040365092518,4.1444792485946715,3.405867949402008e-05
66,BX,0.5896778861200647,3.522785955680967,0.0004270360896749814
67,BXP,0.5639643031561371,2.5126880056213023,0.011981524457942871
68,C,0.5939620835870947,3.6910806303347727,0.00022330333117315249
69,CAG,0.6021870403421208,4.014178814249329,5.9653111922131075e-05
70,CAH,0.5626532432297184,2.461186083623941,0.013847852183724418
71,CAT,0.5758585496922458,2.979925654317794,0.002883183498735953
72,CB,0.537699266841426,1.4809275007958773,0.13862589381053403
73,CBOE,0.6014336973014408,3.9845854953349606,6.759801680256139e-05
74,CBRE,0.5795949876416548,3.1267028777999437,0.001767784869684652
75,CCI,0.55647180096665,2.218362585743588,0.026530120007497437
76,CCL,0.5741222838472031,2.911720512572414,0.0035944409481551975
77,CDNS,0.5536479565999561,2.107434466154556,0.03507993666697673
78,CE,0.5853940180901028,3.35450422219167,0.000795073397988233
79,CF,0.578763783618255,3.09405097233444,0.0019744356101880634
80,CHD,0.5867098810589865,3.406194820475596,0.0006587515286844425
81,CHRW,0.5644545526178749,2.531946308791806,0.01134313587229352
82,CHTR,0.5888918408889663,3.4919080077224702,0.0004795833879396305
