,Ticker,Hurst Exponent,t_statistic,p_value
0,A,0.5985050898803518,3.8695420042461675,0.00010903999486755467
1,AAPL,0.626885609808799,4.9844043336837975,6.215298753442511e-07
2,ABBV,0.6121851110081344,4.406929629974214,1.0484623190087916e-05
3,ABT,0.6247718964545845,4.901372049575395,9.516962526934236e-07
4,ACGL,0.640767206365722,5.529710378561859,3.2075991640567736e-08
5,ACN,0.6444752030822224,5.67537035474718,1.3838892032325134e-08
6,ADBE,0.6788497591689019,7.025694371671442,2.1300738950458253e-12
7,ADI,0.6074110644997913,4.219392381729509,2.449616181632308e-05
8,ADM,0.5762432204429202,2.9950365448245426,0.002744119621856278
9,ADP,0.6552812883185577,6.099862132524891,1.0615999190832781e-09
10,ADSK,0.5983810347065215,3.8646687869681218,0.00011124004470830506
11,AEE,0.6126217251006368,4.424080993143731,9.685368238088188e-06
12,AEP,0.5996800808476476,3.915698775516398,9.014273948815266e-05
13,AES,0.5331190197105496,1.301003207703189,0.19325735675882738
14,AFL,0.6189175874444028,4.67139921620962,2.991548728736859e-06
15,AIG,0.5659760106937254,2.5917132298651633,0.009549933978123093
16,AIZ,0.6193353051613452,4.687808279473147,2.7614653275165324e-06
17,AJG,0.6685645978837083,6.621665872617793,3.551736682538831e-11
18,AKAM,0.5387045275597454,1.520416816317344,0.1284062506769692
19,ALB,0.5601613529631901,2.3632980042565137,0.01811309792275906
20,ALGN,0.6473695004653963,5.789066056264479,7.077886055029126e-09
21,ALL,0.6525388401528991,5.992131472267908,2.071083748944602e-09
22,AMAT,0.6356693645543356,5.329453589353074,9.850868876171148e-08
23,AMCR,0.5513872102831412,2.0186263360925865,0.043526071605656025
24,AMD,0.6247626163390583,4.901007501947686,9.534641496333762e-07
25,AME,0.6180024827867683,4.635451470612927,3.5615927820309423e-06
26,AMGN,0.6003926655580318,3.9436909987788176,8.023703138482219e-05
27,AMP,0.6268380484464023,4.98253599683139,6.275631134755599e-07
28,AMT,0.6161109055674174,4.561145284877308,5.087536316894514e-06
29,AMZN,0.6595949193867378,6.269313037340252,3.6264435898658576e-10
30,ANSS,0.5992733972527481,3.899723161923102,9.630273822924806e-05
